##### MVM sensitivities, M0=3e+10, 60 paired trees, 801 steps.  base median M_seed,crit = 9.476e+07  (M*_tot 1.95e+08, G_BH 1.028)
  variation                    median M_seed,crit     ratio to base (paired)  M*_tot ratio   G_BH
  sigma_j 0.5 -> 0.75                   6.297e+07      0.671 [0.639, 0.732]           0.692  1.061
  eps_sf x0.5                           7.294e+07      0.773 [0.678, 0.838]           0.775  1.031
  eps_sf x2                             1.129e+08      1.200 [1.135, 1.406]           1.198  1.027
  R_nuc = 50 pc                         1.045e+08      1.100 [1.071, 1.145]           1.113  1.040
  R_nuc = 200 pc                        8.430e+07      0.892 [0.821, 0.917]           0.890  1.027
  f_mom = 0.3                           1.015e+08      1.068 [1.053, 1.086]           1.082  1.041
  eta_SN x0.5                           1.231e+08      1.295 [1.184, 1.361]           1.298  1.030
  eta_SN x2                             6.218e+07      0.666 [0.640, 0.757]           0.664  1.025
  stellar wind off                      1.656e+08      1.738 [1.425, 1.968]           1.744  1.032
